"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "id"
"1" 0.52319594 1.3662655 1.0460413 0.57386775 0.92493398 0.54257984 3.9843037 0.9217347 -0.15488538 0.70253826 -0.54541884 0.13576302 2.0172392 0.49399617 -0.71946675 0.1596522 1.3493601 1.3442264 1.0179679 1.1648529 1.5109536 1.1844199 0.34278272 0.67714244 0.21358007 1.2009193 1.1301516 0.87539551 1.5581566 1.4358008 0.95320696 1
"2" 1.2383518 1.6173913 1.5229603 1.8119392 1.4751855 1.0008699 5.1994365 2.1503362 -0.15281324 0.93351893 -0.5634246 -0.24213669 2.059464 0.17706461 -0.80013835 -0.008776768 1.3613832 0.95189 1.2990709 1.6401238 1.162784 0.55489204 0.88930575 0.804806 0.40303917 1.9625807 1.543032 1.1601149 3.6796742 2.4054189 1.9412615 1
"3" 1.8570808 1.4452705 1.7749995 1.9648069 1.4037093 1.2430643 3.2717687 2.1433228 -0.52936209 0.97705274 -0.55104623 -0.056401522 0.57257358 0.35726926 -0.88164899 -0.025772944 1.0449143 1.4076797 0.75421963 2.0509846 1.7910216 1.3366097 0.62683175 0.85928406 0.60033335 1.9012271 1.4133318 1.1390405 4.0929792 1.822742 1.6407991 1
"4" 1.7493261 1.5705847 1.4702711 1.2543852 1.2357906 0.95023881 2.925549 1.5509951 -0.18991859 0.7918621 -0.65939244 -0.5062747 0.10412432 1.5722019 -0.87197753 0.34608224 0.70659168 1.5045987 1.3500695 0.84656601 1.615792 1.7647806 0.46296382 0.80510026 0.86481791 1.0927263 1.000951 0.892108 1.800462 1.7257605 1.5748701 1
"5" 2.2147708 1.2459619 1.3980271 1.6754652 1.0891474 0.88081673 2.8532219 2.7022317 0.041910089 0.33586477 -0.59028594 -0.069388239 -0.27362886 1.6071249 -0.50251912 0.6545972 0.53218963 1.282235 0.74835112 0.91127932 1.4357026 1.0785751 1.1116693 1.0422919 0.40570512 1.4594252 1.2383212 0.89840071 2.3563639 1.5348191 1.2788182 1
"6" -0.94008546 -0.36227608 -0.56939974 -1.0392245 -0.93550993 -1.2378616 -0.62613498 -0.71689835 -1.1335663 -0.4635294 1.9415464 1.7181422 -0.044800747 -0.61337237 1.1503572 1.1289352 -0.55049059 -0.23381584 -0.43789846 0.57815915 -0.11444986 -0.90989752 -1.0626052 -0.6259662 -1.0394459 -0.50084367 -0.7355992 -0.93174424 -0.96734801 -0.67584442 0.12325173 2
"7" -0.57495918 0.44693174 0.37574733 -0.79581605 -0.18861952 -0.4533399 0.34202551 -0.22972956 0.65195092 -0.11738272 1.5021137 1.3535245 -0.44432314 -0.61337237 1.1332434 1.0587843 0.77705247 0.85689371 1.5436133 -0.0085682875 0.23942818 0.2325191 0.018534949 0.30131808 0.24613656 -0.4240391 -0.15893591 0.32344891 -0.72320748 -0.65514953 -0.34761448 2
"8" -0.64843872 0.90611562 0.64734131 -0.30495134 0.86265467 0.15945348 1.6169044 1.1039937 2.068943 -0.70894996 0.30688704 0.01769709 1.9757175 -0.61337237 1.4571745 1.2189436 2.184571 1.8454915 1.7277897 -0.081468516 0.15396396 -0.3316105 1.0803937 1.694556 1.4494781 -0.2056201 0.37120952 1.2623228 -0.27067214 0.084901267 0.87715229 2
"9" 1.0117248 3.3769823 1.9417582 1.727107 2.9608072 1.4033092 1.4439867 5.473706 2.2666286 0.087517065 -0.28710141 -0.17178464 -1.0937141 -0.61337237 0.94573634 0.94056708 1.7764055 3.471462 5.9185411 2.480843 1.211956 2.5343385 3.4721835 3.5324577 3.5800188 2.438625 2.2343605 1.7271888 1.2151492 1.17471 2.4374984 2
"10" 0.73195109 2.3898291 2.85703 2.4292223 4.0284294 2.2828295 1.3638556 6.2160271 1.0084662 0.86813137 -0.33547994 -0.24292989 -1.0937141 -0.61337237 -0.1257327 -1.241905 0.72349372 4.2753462 3.2615618 2.0785324 3.7454257 4.428304 2.3840271 3.3985584 2.7742881 3.017223 5.6266285 5.4297437 2.6615774 3.4565697 2.3445804 2
"11" 2.6010549 3.22921 2.5696835 2.944815 2.8524404 2.0067071 2.3218872 3.1055878 0.23027456 0.76859984 -0.30486593 0.2929548 -0.46754748 2.0241396 -0.41677499 0.60410265 0.58823426 2.6674091 1.9842701 0.59476594 0.99716878 3.142159 1.0896232 1.8333029 3.1296323 1.0316524 1.4707503 1.7355294 0.70708248 0.43922814 5.2004304 2
