"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66"
"1" 0.25762368 1.346548 1.0196513 1.1137027 2.7274638 2.2236067 4.0825776 1.8827473 -0.22613755 1.2450196 1.6756993 -0.23394129 1.3210398 2.3073213 0.84658459 2.0580509 0.47139773 1.5112758 2.3330668 1.5563072 3.2716197 0.39127576 1.1340137 -0.61990989 0.20983937 0.23843423 1.0747055 -0.6006727 0.25725863 0.3490291 1.1213535 -0.52242865 0.4208542 1.2544501 1.3099416 0.85826428 2.3639054 3.2350856 2.1712308 1.083286 1.8911755 1.3890007 1.1322085 0.94550762 0.88720211 2.3443923 2.7779364 2.1991021 0.72333354 1.8818327 1.6817044 1.7552464 2.355723 0.94707099 2.7398169 4.9919932 2.5314756 2.1183632 2.3570912 0.64545507 -1.536515 -1.4701504 -1.1403124 82 0 1
"2" 0.26678593 1.8762951 1.4269448 1.555365 2.6281303 2.280935 3.6368996 2.4570998 -0.22613755 1.6522402 2.3760202 -0.23394129 1.7382308 2.982901 -0.23080588 2.5558286 0.914042 1.5196219 3.7274987 2.398475 5.4688471 0.13636488 1.6174143 -0.53660619 0.39703339 -0.11210063 1.7073139 -0.47755551 0.49511492 0.27726583 1.2867644 -0.49967278 0.56497524 1.3447319 1.6731826 1.892063 1.6912591 1.6282604 1.3104156 1.6927569 1.9956816 1.7548535 1.0021559 1.5809931 1.6354507 1.077051 1.2942262 1.0334752 1.9183102 2.2001641 1.725352 2.2907444 2.2523802 2.6241297 3.0747285 2.7960664 2.2181242 1.2108083 1.5552352 2.1171746 -1.536515 -1.4701504 -1.1403124 82 0 1
"3" 0.46002627 2.2764232 1.6102269 2.126928 1.7264619 1.6518254 2.1309295 2.061448 -0.22613755 1.8674456 2.2908699 -0.23394129 1.9587053 2.0760942 -0.23080588 2.3857451 1.2130328 1.0216759 2.7955509 1.2892112 5.4369322 -0.18014108 1.3965413 -0.38366974 0.54339054 -0.38812221 1.9678217 -0.28837219 0.61233833 0.24977419 0.57975611 -0.4310594 0.6757388 0.92977495 0.75155486 0.73144014 1.1210552 2.5336456 1.7936121 1.5041185 2.5279931 2.3231099 0.28542964 0.44553464 0.24192017 1.3133709 2.6889505 1.7864618 2.0304885 2.7271342 1.4898777 2.1379489 1.4565434 1.5684958 0.9575762 2.8335899 2.190016 0.7081493 2.8014105 3.8808084 -1.536515 -1.4701504 -1.1403124 82 0 1
"4" 0.44253469 1.9608292 1.0060749 2.5556002 1.2350122 1.0969509 1.6398398 1.8340014 -0.22613755 1.6072511 2.0266229 -0.23394129 1.6921402 2.08159 -0.23080588 2.5008349 0.93596228 0.46581639 5.3790005 4.3209057 5.639223 0.38339526 0.14870239 -0.33219019 0.53359393 0.80601529 -0.34323196 -0.17387652 0.54533165 -0.1063502 1.0996523 -0.25238486 0.84976781 1.8701499 2.0054654 2.484657 0.63780677 1.516206 2.6408429 0.95929006 1.9892477 2.4958849 2.3049765 2.1836255 3.1885076 0.84469621 1.7271099 3.3730968 1.1497132 2.4311413 3.023997 1.5009133 2.1740469 1.7080466 0.54630869 1.662784 2.0355693 0.95730807 1.8888932 2.1594714 -1.536515 -1.4701504 -1.1403124 82 0 1
"5" 0.34508159 1.9326512 1.7324149 1.1007126 1.9002749 1.9913726 1.9525182 1.4645134 -0.22613755 1.5455651 1.6029314 -0.23394129 1.6289439 1.3806778 -0.23080588 1.5013111 1.4342403 1.1827629 2.4313871 2.4246117 1.2998123 0.16712956 1.1684302 -0.5612085 0.37500995 0.28514563 1.140725 -0.57418072 0.38701861 -0.016064279 1.6732487 -0.48179334 0.59732747 0.68493503 1.0074442 1.3690459 0.18514175 0.85615296 1.2316536 0.59535053 0.85253892 2.742475 0.71056556 1.1730724 1.6919083 0.11104841 0.84029719 1.3259659 0.097971182 0.97926726 2.3160844 0.72852917 0.64564043 0.35340042 0.51493028 1.1926668 1.2258585 1.778509 0.67342473 4.2182626 -1.536515 -1.4701504 -1.1403124 82 0 1
"6" -0.087210373 -1.0035002 -0.88105158 -0.66593661 -0.8666273 -0.8701113 -0.66924882 -1.0043197 -0.22613755 -1.0740042 -0.99587667 -0.23394129 -1.0547629 -0.75881352 -0.23080588 -0.77667352 0.43376603 -0.61232201 -0.57914577 -0.51622696 -0.49244766 -0.89705242 -6.2741267e-15 -0.73243811 -1.5575484 -0.87313969 5.0845783e-15 -0.75377218 -1.5559118 -0.63976678 7.5417544e-15 -0.62577521 -1.0749011 -1.1434147e-15 -2.6889241e-16 3.3584892e-15 0 5.7480289e-16 -1.2712723e-15 -1.7329478e-15 -1.7423086e-15 -1.339352e-15 -2.67106e-15 -1.6181382e-15 8.9275182e-16 -2.0002221e-16 2.8734047e-16 -3.1436519e-15 -1.4870417e-15 -1.6633194e-15 1.2950018e-15 -2.1354391e-15 -9.6747717e-16 -7.3165432e-16 4.3926502e-16 -1.3659465e-15 -4.8625353e-16 -1.0398742e-15 4.9392575e-15 -4.254565e-15 1.2724832 -1.4701504 -1.1403124 187 0 2
"7" -0.42288217 -1.0035002 -0.88105158 -0.66593661 -0.8666273 -0.8701113 -0.66924882 -1.0043197 -0.22613755 -1.0740042 -0.99587667 -0.23394129 -1.0547629 -0.75881352 -0.23080588 -0.77667352 0.62226941 -0.61232201 -0.57914577 -0.51622696 -0.49244766 -0.89705242 -6.2741267e-15 -0.73243811 -1.5575484 -0.87313969 5.0845783e-15 -0.75377218 -1.5559118 -0.63976678 7.5417544e-15 -0.62577521 -1.0749011 -1.1434147e-15 -2.6889241e-16 3.3584892e-15 0 5.7480289e-16 -1.2712723e-15 -1.7329478e-15 -1.7423086e-15 -1.339352e-15 -2.67106e-15 -1.6181382e-15 8.9275182e-16 -2.0002221e-16 2.8734047e-16 -3.1436519e-15 -1.4870417e-15 -1.6633194e-15 1.2950018e-15 -2.1354391e-15 -9.6747717e-16 -7.3165432e-16 4.3926502e-16 -1.3659465e-15 -4.8625353e-16 -1.0398742e-15 4.9392575e-15 -4.254565e-15 1.2724832 -1.4701504 -1.1403124 187 0 2
"8" -0.83351788 -1.0035002 -0.88105158 -0.66593661 -0.8666273 -0.8701113 -0.66924882 -1.0043197 -0.22613755 -1.0740042 -0.99587667 -0.23394129 -1.0547629 -0.75881352 -0.23080588 -0.77667352 0.60109138 -0.61232201 -0.57914577 -0.51622696 -0.49244766 -0.89705242 -6.2741267e-15 -0.73243811 -1.5575484 -0.87313969 5.0845783e-15 -0.75377218 -1.5559118 -0.63976678 7.5417544e-15 -0.62577521 -1.0749011 -1.1434147e-15 -2.6889241e-16 3.3584892e-15 0 5.7480289e-16 -1.2712723e-15 -1.7329478e-15 -1.7423086e-15 -1.339352e-15 -2.67106e-15 -1.6181382e-15 8.9275182e-16 -2.0002221e-16 2.8734047e-16 -3.1436519e-15 -1.4870417e-15 -1.6633194e-15 1.2950018e-15 -2.1354391e-15 -9.6747717e-16 -7.3165432e-16 4.3926502e-16 -1.3659465e-15 -4.8625353e-16 -1.0398742e-15 4.9392575e-15 -4.254565e-15 1.2724832 -1.4701504 -1.1403124 187 0 2
"9" -0.060556534 -1.0035002 -0.88105158 -0.66593661 -0.8666273 -0.8701113 -0.66924882 -1.0043197 -0.22613755 -1.0740042 -0.99587667 -0.23394129 -1.0547629 -0.75881352 -0.23080588 -0.77667352 0.96921728 -0.61232201 -0.57914577 -0.51622696 -0.49244766 -0.89705242 -6.2741267e-15 -0.73243811 -1.5575484 -0.87313969 5.0845783e-15 -0.75377218 -1.5559118 -0.63976678 7.5417544e-15 -0.62577521 -1.0749011 -1.1434147e-15 -2.6889241e-16 3.3584892e-15 0 5.7480289e-16 -1.2712723e-15 -1.7329478e-15 -1.7423086e-15 -1.339352e-15 -2.67106e-15 -1.6181382e-15 8.9275182e-16 -2.0002221e-16 2.8734047e-16 -3.1436519e-15 -1.4870417e-15 -1.6633194e-15 1.2950018e-15 -2.1354391e-15 -9.6747717e-16 -7.3165432e-16 4.3926502e-16 -1.3659465e-15 -4.8625353e-16 -1.0398742e-15 4.9392575e-15 -4.254565e-15 1.2724832 -1.4701504 -1.1403124 187 0 2
"10" -0.10886662 -1.0035002 -0.88105158 -0.66593661 -0.8666273 -0.8701113 -0.66924882 -1.0043197 -0.22613755 -1.0740042 -0.99587667 -0.23394129 -1.0547629 -0.75881352 -0.23080588 -0.77667352 0.67144493 -0.61232201 -0.57914577 -0.51622696 -0.49244766 -0.89705242 -6.2741267e-15 -0.73243811 -1.5575484 -0.87313969 5.0845783e-15 -0.75377218 -1.5559118 -0.63976678 7.5417544e-15 -0.62577521 -1.0749011 -1.1434147e-15 -2.6889241e-16 3.3584892e-15 0 5.7480289e-16 -1.2712723e-15 -1.7329478e-15 -1.7423086e-15 -1.339352e-15 -2.67106e-15 -1.6181382e-15 8.9275182e-16 -2.0002221e-16 2.8734047e-16 -3.1436519e-15 -1.4870417e-15 -1.6633194e-15 1.2950018e-15 -2.1354391e-15 -9.6747717e-16 -7.3165432e-16 4.3926502e-16 -1.3659465e-15 -4.8625353e-16 -1.0398742e-15 4.9392575e-15 -4.254565e-15 1.2724832 -1.4701504 -1.1403124 187 0 2
