"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44"
"1" 2.1516556 1.990716 1.5603577 0.99886016 0.57505548 0.81956136 0.4789547 2.9206634 2.3297085 1.5098555 1.4227576 0.52921139 0.17727042 -0.21830154 0.29840208 3.105733 2.2146316 2.3114592 1.7013236 0.29313408 0.064102754 -0.20606285 0.52572404 3.9178047 2.7920143 -0.21682345 1.0158054 -0.83794107 -0.29777504 0.36011229 0.43980124 0.68751996 0.48385676 0.64236963 1.3113969 1.4912108 1.8047303 1.1482219 0.87060726 -1.6250882 0.76863256 -1.0825253 0 1
"2" 2.0068678 2.1848346 1.8733226 1.1779957 -0.43136747 2.1324377 0.23332957 4.0419781 3.5564952 1.0261476 1.5435954 0.40864492 0.21047569 -0.21830154 0.10983626 2.1668193 1.7502564 2.4035602 3.2805825 -0.34890533 0.031613764 -0.20606285 0.5318953 2.1364447 1.6717369 -0.87019954 0.91877715 -0.23353601 0.70966373 0.88470412 0.87611897 0.7335973 0.82083258 2.13382 1.7455504 1.3961715 1.6633649 1.1171516 0.87060726 -1.6250882 0.76863256 -1.0825253 0 1
"3" 2.1187493 2.744081 1.0398023 0.13201152 -0.43136747 0.42275479 0.23481117 3.5614631 1.4792685 0.30712233 0.31262521 0.77261691 0.17498287 -0.21830154 0.11550741 1.6682031 1.297148 2.9377457 2.8674461 -0.2949571 0.25684123 -0.20606285 1.04891 2.8226788 2.2744221 -0.69180106 0.61690272 -0.59407524 0.38184118 0.19624316 -0.014332452 0.11317234 0.21369769 0.34173077 0.39758617 0.041976957 0.070748618 -0.048873427 0.87060726 -1.6250882 0.76863256 -1.0825253 0 1
"4" 0.35168012 -0.047529395 -1.6331992 -1.6758727 -0.43136747 -1.8762506 -0.85814127 -0.9156419 -0.83562268 0.76468386 -0.92020636 -1.2844097 -1.6438883 -0.21830154 -1.7566818 -1.067533 -1.0234751 0.26681786 -0.92904382 -1.1832241 -1.6401978 -0.10676736 -1.6911307 -0.90913245 -0.6879748 0.78472801 -0.63446796 -0.64796763 -0.83448383 -1.8218443 -1.8932566 -1.7337559 -1.5694651 -1.7516993 -1.4419236 -1.3870719 -1.2629594 -0.95811897 0.7696528 0.36757947 0.76863256 0.52281947 1 2
"5" 0.81894982 -0.15383244 -1.5794801 -1.5764831 -0.43136747 -1.7661574 -0.84739747 -0.88565278 -0.83293491 1.8497584 -0.88110662 -1.2402432 -1.5497709 -0.21830154 -1.6035607 -0.86636747 -0.67832113 -0.46998983 -0.93374039 -1.1693613 -1.5903564 -0.18537629 -1.6671313 -1.0918315 -1.0019812 -0.33393255 0.81602415 0.21136505 0.61769036 -1.7818928 -1.8400987 -1.7692034 -1.5496647 -1.6598907 -1.4031608 -1.2509225 -1.5611755 -0.71705464 0.7696528 0.36757947 0.76863256 0.52281947 1 2
"6" 1.1644661 0.044908035 -1.5958568 -1.5658418 -0.43136747 -1.7950054 -0.91492423 -0.853244 -0.81446473 2.2158076 -0.86231922 -1.2393033 -1.5164257 -0.21830154 -1.6510566 -0.82116413 -0.5552121 0.39575921 -0.86099738 -0.99299038 -1.2310907 -0.20606285 -1.1761731 -0.61884372 -0.13492022 1.4631594 -0.59441249 -0.36608188 -0.41136234 -1.6416664 -1.7310712 -1.5639261 -1.4502276 -1.7070776 -1.4526438 -1.4088403 -1.5171763 -0.92775729 0.7696528 0.36757947 0.76863256 0.52281947 1 2
"7" 1.2401507 0.59028888 -1.4467541 -1.3169377 -0.43136747 -1.4505961 -0.7847679 -0.59534298 -0.78750412 1.6536606 -0.82765904 -1.0173043 -1.1023167 -0.21830154 -1.1243483 -0.35924114 0.12171681 0.91152459 -0.80903526 -0.82114902 -1.0345557 -0.20606285 -1.1604021 -0.10073443 0.56624985 -0.93975378 1.4361562 0.073726379 0.87831313 -1.5895089 -1.6618843 -1.5351035 -1.3394521 -1.5701218 -1.4391889 -1.4078953 -1.1032942 -1.0434782 0.7696528 0.36757947 0.76863256 0.52281947 1 2
"8" 0.94070319 0.70583567 -1.3917774 -1.2237058 -0.43136747 -1.4358778 -0.77322548 -0.48166917 -0.77985472 0.90848892 -0.85564452 -1.0352382 -1.1431866 -0.21830154 -1.226429 -0.60522797 -0.29226076 1.0220457 -0.78552144 -0.90725291 -0.96162322 -0.20606285 -0.99994925 -0.19952365 0.39188913 -0.930001 2.0218777 0.049379218 0.93083666 -1.5920987 -1.6047645 -1.4822532 -1.3362537 -1.5720998 -1.364421 -1.4178951 -1.0471041 -1.0228712 0.7696528 0.36757947 0.76863256 0.52281947 1 2
"9" -0.82307538 -0.61139772 2.2517553 2.9822979 -0.43136747 2.0688544 2.9224308 -0.5958867 1.0935435 -0.76487899 3.9342127 2.0423255 3.4114774 -0.21830154 5.0416122 0.56717272 -0.59095528 -0.80155329 4.2134896 1.9864084 4.4529565 -0.20606285 4.8236657 0.0013104678 -0.83667922 -0.087777186 1.1096545 -0.46003593 0.14882548 3.2089419 2.6333321 1.8183591 4.6591085 2.2674567 1.7644786 1.58973 0.77282849 1.2504165 0.56774388 2.9741307e-08 0.76863256 -0.19817748 0 3
"10" -0.83952854 -0.44963222 0.90880138 -0.38963439 2.5370719 0.14016257 2.4964224 -0.64100359 -0.44149854 -1.0394159 -0.42653816 1.7088848 -0.10690118 1.0701583 0.39764725 -0.25979379 -0.89476917 -0.46998983 0.5969598 1.5235016 1.4468478 -0.20606285 1.4562133 0.64463587 -0.50322535 -0.31463394 -0.90305951 -0.28708777 -0.65086974 -0.20651024 0.26738188 0.23374202 1.0205959 -0.14371695 -0.59772622 0.46876861 0.8099421 -0.21894216 0.56774388 2.9741307e-08 0.76863256 -0.19817748 0 3
